note_id,type,title,desc,time,last_update_time,user_id,nickname,avatar,liked_count,collected_count,comment_count,share_count,ip_location,image_list,last_modify_ts
63e588b50000000008025be1,normal,洛杉矶美食｜3家性价比超高平价日料精选,"🍣今天推荐在洛杉矶平价且超级新鲜的日料店，超级适合一人食或情侣去吃，每一家点菜的价格我都在图片上标记了，性价比超高💯。
🌟图2：Sushi Gen🍣
人均💰：$40左右
📍：422 E 2nd St Los Angeles, CA 90012
洛杉矶老牌日料店，超级火超级旺，中午需要准点到达才不用排队，我们晚到了一点点前面就要排5桌了，最后等了45分钟才能入座。
✨推荐菜：Sashimi Deluxe
生鱼片超级新鲜且量好多，全部都很厚实完全没偷工减料[赞R]，女生一个人会吃不完，我老婆只吃完一半，剩下的我解决掉了。
✨推荐菜：Sushi Deluxe
才$20多还要什么自行车，寿司饭上的生鱼片也是很新鲜厚实，性价比贼高。
	
🌟图3：Oji Sushi🍣
人均💰：$40左右
📍：624 E Colorado Blvd, Pasadena CA 91101
在Pasadena居然有这么一家小众且性价比超高的日料店，生鱼片都切得很厚，每一块都很新鲜，入口即化。我们那天是walk in，没有等位，估计很少人知道这家店。
✨推荐菜：Chirashi
没想到这么大一份Chirashi才不到$30，鱼肉都是入口即化，色泽感超好，一看就很有食欲。三文鱼和吞拿鱼都是超级肥的，很好吃。
✨推荐菜：Sushi & Sashimi Set
同样的鱼肉入口即化，分量很足，sashimi都是厚厚的。里面还有fatty tuna的sashimi，一口下去超满足。
	
🌟图4：Ootoro🍣
人均💰：$40左右
📍：232 E 2nd St, Ste E Los Angeles, CA 90012
洛杉矶连锁日料店，中午去性价比最高，记得周日和周一不开，别跑空了。魚都非常新鲜，也都是厚切。
✨推荐菜：Premium Chirashi
里面有超级甜的Uni，还有超肥的Toro，Tuna，Salmon等请看图，品质超赞！晚上去价格会贵些。
✨推荐菜：Blue Fin Tuna Bowl
老婆说没吃过这么厚这么多的blue fin tuna，一大碗满满的，又肥又厚，超新鲜。
	
关注我，给你分享更多洛杉矶平价美食和好玩的地方💯🍜。
	
     ",1675987125000,1676369507000,5d63108b0000000001007b4b,吃不饱的小熊,https://sns-avatar-qc.xhscdn.com/avatar/6440923f460bcbf54fb38568.jpg,475,772,23,259,,"https://sns-img-hw.xhscdn.net/07baea28-749a-2ca3-2c80-42af8c6faa6d,https://sns-img-hw.xhscdn.net/d801557c-a8fd-027a-5f5a-19eaf88b7d71,https://sns-img-hw.xhscdn.net/f8bbc341-53db-52d8-9097-61eaae81f396,https://sns-img-hw.xhscdn.net/0271ed41-f87a-1752-a7ed-9a2d3ff2f470",1696391197564
